ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Employment_Status,Education,Property_Area,Age,Loan_Status
4232,2319,590283,240,493,1,Salaried,Graduate,Semiurban,49,0
12299,4885,199603,300,448,1,Salaried,Not Graduate,Rural,34,0
11345,2198,204973,360,441,1,Unemployed,Graduate,Semiurban,36,0
14623,762,527674,360,326,1,Salaried,Not Graduate,Rural,29,0
10725,1883,333417,360,653,1,Unemployed,Graduate,Rural,49,1
15616,859,190500,360,817,1,Salaried,Graduate,Semiurban,24,1
16435,8291,523979,300,591,1,Unemployed,Not Graduate,Rural,21,0
16930,6558,524150,360,404,1,Unemployed,Not Graduate,Urban,38,0
17332,5876,354598,360,709,1,Salaried,Not Graduate,Rural,34,1
8244,5878,688183,120,347,1,Unemployed,Graduate,Urban,30,0
16150,886,648322,180,812,1,Self_Employed,Graduate,Rural,33,1
18589,9012,503621,240,449,0,Salaried,Not Graduate,Semiurban,29,0
11827,5520,696859,300,669,1,Self_Employed,Not Graduate,Semiurban,40,1
4397,9654,626794,240,334,1,Self_Employed,Not Graduate,Rural,25,0
18421,1355,432746,240,810,0,Unemployed,Graduate,Rural,32,0
7716,6457,469788,180,354,1,Salaried,Not Graduate,Rural,50,0
8421,7866,101996,300,322,1,Unemployed,Graduate,Rural,52,0
7536,968,431253,120,507,1,Unemployed,Graduate,Semiurban,46,0
3663,232,588681,180,705,0,Unemployed,Not Graduate,Rural,53,0
6572,7954,105782,360,686,1,Salaried,Graduate,Urban,50,1
6351,3372,120157,360,579,1,Unemployed,Graduate,Rural,26,0
9377,3298,370251,240,650,1,Salaried,Graduate,Semiurban,21,0
19930,9931,186443,120,473,1,Unemployed,Not Graduate,Urban,34,0
3371,7858,89762,240,546,1,Unemployed,Not Graduate,Urban,31,0
9099,43,459388,360,583,1,Self_Employed,Graduate,Rural,48,0
3996,8769,544958,300,510,0,Salaried,Not Graduate,Rural,49,0
16686,2169,425004,180,753,1,Self_Employed,Not Graduate,Rural,25,1
11700,3244,227731,120,782,1,Salaried,Not Graduate,Semiurban,58,1
2255,2825,487129,180,422,1,Salaried,Not Graduate,Rural,52,0
2297,515,489731,180,323,0,Self_Employed,Not Graduate,Urban,53,0
18543,9609,579925,240,714,0,Salaried,Graduate,Rural,38,0
4719,5154,185386,360,659,0,Salaried,Not Graduate,Urban,21,0
16746,3550,211921,120,663,1,Salaried,Graduate,Rural,27,1
17821,6657,610191,180,437,0,Self_Employed,Graduate,Urban,47,0
10236,5414,629055,120,766,1,Unemployed,Graduate,Urban,33,1
18598,6096,159915,120,576,0,Salaried,Not Graduate,Rural,46,0
13223,2910,603164,360,892,1,Unemployed,Not Graduate,Rural,43,1
12622,8333,428143,180,543,1,Unemployed,Not Graduate,Rural,55,0
